Number,Element,K-1s,L1-2s,L2-2p1/2,L3-2p3/2,M1-3s,M2-3p1/2,M3-3p3/2,M4-3d3/2,M5-3d5/2,N1-4s,N2-4p1/2,N3-4p3/2,N4-4d3/2,N5-4d5/2,N6-4f5/2,N7-4f7/2,O1-5s,O2-5p1/2,O3-5p3/2,O4-5d3/2,O5-5d5/2,P1-6s,P2-6p1/2,P3-6p3/2
1,H,13.6,,,,,,,,,,,,,,,,,,,,,,,
2,He,24.6*,,,,,,,,,,,,,,,,,,,,,,,
3,Li,54.7*,,,,,,,,,,,,,,,,,,,,,,,
4,Be,111.5*,,,,,,,,,,,,,,,,,,,,,,,
5,B,188*,,,,,,,,,,,,,,,,,,,,,,,
6,C,284.2*,,,,,,,,,,,,,,,,,,,,,,,
7,N,409.9*,37.3*,,,,,,,,,,,,,,,,,,,,,,
8,O,543.1*,41.6*,,,,,,,,,,,,,,,,,,,,,,
9,F,696.7*,,,,,,,,,,,,,,,,,,,,,,,
10,Ne,870.2*,48.5*,21.7*,21.6*,,,,,,,,,,,,,,,,,,,,
11,Na,1070.8d,63.5d,30.65,30.81,,,,,,,,,,,,,,,,,,,,
12,Mg,1303.0d,88.7,49.78,49.50,,,,,,,,,,,,,,,,,,,,
13,Al,1559.6,117.8,72.95,72.55,,,,,,,,,,,,,,,,,,,,
14,Si,1839,149.7*b,99.82,99.42,,,,,,,,,,,,,,,,,,,,
15,P,2145.5,189*,136*,135*,,,,,,,,,,,,,,,,,,,,
16,S,2472,230.9,163.6*,162.5*,,,,,,,,,,,,,,,,,,,,
17,Cl,2822.4,270*,202*,200*,,,,,,,,,,,,,,,,,,,,
18,Ar,3205.9*,326.3*,250.6d,248.4*,29.3*,15.9*,15.7*,,,,,,,,,,,,,,,,,
19,K,3608.4*,378.6*,297.3*,294.6*,34.8*,18.3*,18.3*,,,,,,,,,,,,,,,,,
20,Ca,4038.5*,438.4d,349.7d,346.2d,44.3,d,25.4d,25.4d,,,,,,,,,,,,,,,,
21,Sc,4492,498.0*,403.6*,398.7*,51.1*,28.3*,28.3*,,,,,,,,,,,,,,,,,
22,Ti,4966,560.9d,460.2d,453.8d,58.7d,32.6d,32.6d,,,,,,,,,,,,,,,,,
23,V,5465,626.7d,519.8d,512.1d,66.3d,37.2d,37.2d,,,,,,,,,,,,,,,,,
24,Cr,5989,696.0d,583.8d,574.1d,74.1d,42.2d,42.2d,,,,,,,,,,,,,,,,,
25,Mn,6539,769.1d,649.9d,638.7d,82.3d,47.2d,47.2d,,,,,,,,,,,,,,,,,
26,Fe,7112,844.6d,719.9d,706.8d,91.3d,52.7d,52.7d,,,,,,,,,,,,,,,,,
27,Co,7709,925.1d,793.2d,778.1d,101.0d,58.9d,59.9d,,,,,,,,,,,,,,,,,
