Number,Element,Orbital,Energy
63,Eu,N7-4f7/2,0.0
63,Eu,N6-4f5/2,0.0
58,Ce,N6-4f5/2,0.1
58,Ce,N7-4f7/2,0.1
70,Yb,N7-4f7/2,1.3
60,Nd,N7-4f7/2,1.5
60,Nd,N6-4f5/2,1.5
59,Pr,N6-4f5/2,2.0
59,Pr,N7-4f7/2,2.0
65,Tb,N7-4f7/2,2.4
70,Yb,N6-4f5/2,2.5
66,Dy,N7-4f7/2,4.3
69,Tm,N7-4f7/2,4.6
68,Er,N7-4f7/2,4.7
62,Sm,N7-4f7/2,5.2
62,Sm,N6-4f5/2,5.2
67,Ho,N7-4f7/2,5.2
71,Lu,N7-4f7/2,7.5
65,Tb,N6-4f5/2,7.7
80,Hg,O5-5d5/2,7.8
66,Dy,N6-4f5/2,8.0
67,Ho,N6-4f5/2,8.6
64,Gd,N6-4f5/2,8.6
64,Gd,N7-4f7/2,8.6
71,Lu,N6-4f5/2,8.9
80,Hg,O4-5d3/2,9.6
30,Zn,M5-3d5/2,10.1
30,Zn,M4-3d3/2,10.2
48,Cd,N5-4d5/2,10.7
48,Cd,N4-4d3/2,11.7
54,Xe,O3-5p3/2,12.1
55,Cs,O3-5p3/2,12.1
81,Tl,O5-5d5/2,12.5
54,Xe,O2-5p1/2,13.4
1,H,K-1s,13.6
36,Kr,N2-4p1/2,14.1
36,Kr,N3-4p3/2,14.1
72,Hf,N7-4f7/2,14.2
55,Cs,O2-5p1/2,14.2
81,Tl,O4-5d3/2,14.7
56,Ba,O3-5p3/2,14.8
87,Fr,P2-6p1/2,15.0
87,Fr,P3-6p3/2,15.0
37,Rb,N3-4p3/2,15.3
18,Ar,M3-3p3/2,15.7
18,Ar,M2-3p1/2,15.9
72,Hf,N6-4f5/2,15.9
37,Rb,N2-4p1/2,16.3
90,Th,P3-6p3/2,16.6
92,U,P3-6p3/2,16.8
57,La,O3-5p3/2,16.8
49,In,N5-4d5/2,16.9
58,Ce,O3-5p3/2,17.0
56,Ba,O2-5p1/2,17.0
49,In,N4-4d3/2,17.7
82,Pb,O5-5d5/2,18.1
19,K,M3-3p3/2,18.3
19,K,M2-3p1/2,18.3
